Edir,Edif
0.453475,0.561503
0.458846,0.561503
0.464217,0.561736
0.469588,0.561736
0.474959,0.561736
0.480330,0.561968
0.485701,0.561968
0.491073,0.561968
0.496444,0.561968
0.501815,0.562201
0.507186,0.562201
0.512557,0.562201
0.517928,0.562434
0.523299,0.562434
0.528670,0.562434
0.534041,0.562666
0.539413,0.562666
0.544784,0.562666
0.550155,0.562666
0.555526,0.562899
0.560897,0.562899
0.565961,0.562666
0.571025,0.562434
0.576090,0.562201
0.581154,0.561968
0.586218,0.561736
0.591282,0.561503
0.596346,0.561270
0.601410,0.561038
0.606475,0.560805
0.611539,0.560805
0.616603,0.560572
0.621667,0.560339
0.626731,0.560107
0.631796,0.559874
0.636860,0.559641
0.641924,0.559409
0.646988,0.559176
0.652052,0.558943
0.657116,0.558711
0.662181,0.558478
0.670851,0.561270
0.679522,0.564063
0.688192,0.566622
0.696863,0.569415
0.705533,0.572207
0.714204,0.574999
0.722874,0.577792
0.731545,0.580352
0.740215,0.583144
0.748886,0.585936
0.757556,0.588729
0.766227,0.591521
0.774974,0.594081
0.783414,0.596873
0.792622,0.599666
0.801062,0.602458
0.809502,0.605250
0.817943,0.607810
0.827150,0.610602
0.835591,0.613395
0.839427,0.612929
0.844031,0.612464
0.847867,0.611999
0.851704,0.611533
0.856308,0.611068
0.860144,0.610370
0.863981,0.609904
0.867817,0.609439
0.872421,0.608974
0.876258,0.608508
0.880094,0.608043
0.884698,0.607577
0.888534,0.607112
0.892371,0.606647
0.896975,0.606181
0.900811,0.605483
0.904648,0.605018
0.908484,0.604552
0.913088,0.604087
0.916925,0.603621
0.916157,0.600131
0.916157,0.596873
0.915390,0.593383
0.914623,0.589892
0.913855,0.586634
0.913855,0.583144
0.913088,0.579653
0.912321,0.576396
0.911553,0.572905
0.911553,0.569647
0.910786,0.566157
0.910019,0.562666
0.909252,0.559409
0.909252,0.555918
0.908484,0.552428
0.907717,0.549170
0.906950,0.545679
0.906950,0.542189
0.906182,0.538931
0.905415,0.535441
0.905415,0.532881
0.906182,0.530321
0.906182,0.527762
0.906182,0.525202
0.906950,0.522642
0.906950,0.519850
0.906950,0.517290
0.906950,0.514730
0.907717,0.512171
0.907717,0.509611
0.907717,0.507051
0.908484,0.504492
0.908484,0.501932
0.908484,0.499372
0.909252,0.496813
0.909252,0.494020
0.909252,0.491460
0.909252,0.488901
0.910019,0.486341
0.910019,0.483781
0.913855,0.483083
0.916925,0.482385
0.920761,0.481687
0.923830,0.480989
0.927667,0.480291
0.930736,0.479593
0.934572,0.478895
0.937642,0.478197
0.941478,0.477499
0.944547,0.476800
0.948384,0.475870
0.951453,0.475172
0.955290,0.474473
0.958359,0.473775
0.962195,0.473077
