Cab,Car,wf,wd,A,N
28.786704,8.332381,1.810000,0.410000,57.433290,1.303898
29.550953,8.674586,1.810000,0.370000,57.195155,1.343124
32.223880,9.263311,1.830000,0.280000,59.644600,1.266102
32.786965,9.656988,1.840000,0.330000,58.915565,1.275740
27.705826,8.232339,1.610000,0.360000,52.019809,1.319862
25.320006,7.027961,1.550000,0.300000,51.452903,1.361705
26.461302,8.853965,1.550000,0.340000,51.630823,1.347683
27.002790,8.769313,1.600000,0.350000,53.100461,1.349439
27.949489,9.069068,1.850000,0.370000,57.987232,1.338250
26.167744,8.300922,1.570000,0.380000,50.182096,1.341860
28.046504,8.010009,1.600000,0.330000,53.419756,1.323754
30.700658,9.414510,1.800000,0.330000,59.025450,1.287829
31.860813,9.617555,1.720000,0.310000,55.967838,1.275840
30.150950,9.294483,1.790000,0.340000,58.952008,1.311316
31.855337,10.361396,1.720000,0.280000,59.617067,1.297795
27.356688,7.913077,1.690000,0.390000,56.035602,1.330097
